,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
row1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
row2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
row3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
row4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
row5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
row6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
row7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
row9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
row12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
row14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
row16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
row17,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
row18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
row21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
row22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
row24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
row25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row26,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
row27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row29,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
row30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
